"","ID","Age","Attrition","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","MonthlyRate","NumCompaniesWorked","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager"
"106","106","26","0","2","1384","2","3","4","4","1","2","82","4","1","3","4","2","4420","13421","1","0","22","4","2","1","8","2","3","8","7","0","7"
"107","107","29","0","1","1496","2","1","1","6","4","2","41","3","2","5","3","2","4319","26283","1","0","13","3","1","1","10","1","3","10","7","0","9"
"108","108","55","0","2","189","1","26","4","1","3","2","71","4","5","4","2","2","19636","25811","4","1","18","3","1","1","35","0","3","10","9","1","4"
"109","109","46","1","2","261","2","21","2","4","4","1","66","3","2","1","2","2","8926","10842","4","0","22","4","4","1","13","2","4","9","7","3","7"
"110","110","32","0","2","529","2","2","3","6","4","2","78","3","1","7","1","1","2439","11288","1","0","14","3","4","0","4","4","3","4","2","1","2"
"111","111","28","0","3","773","2","6","3","2","3","2","39","2","1","7","3","3","2703","22088","1","1","14","3","4","1","3","2","3","3","1","0","2"
"112","112","52","0","2","1053","2","1","2","2","4","2","70","3","4","4","4","2","17099","13829","2","0","15","3","2","1","26","2","2","9","8","7","8"
"113","113","52","0","2","994","2","7","4","2","2","2","87","3","3","1","2","1","10445","15322","7","0","19","3","4","0","18","4","3","8","6","4","0"
"114","114","35","0","1","1225","2","2","4","2","4","1","61","3","2","1","1","3","5093","4761","2","0","11","3","1","1","16","2","4","1","0","0","0"
"115","115","35","0","2","1361","3","17","4","2","3","2","94","3","2","8","1","2","8966","21026","3","1","15","3","4","3","15","2","3","7","7","1","7"
"116","116","37","0","1","1252","3","19","2","4","1","2","32","3","3","8","2","1","7642","4814","1","1","13","3","4","0","10","2","3","10","0","0","9"
"117","117","25","0","2","1356","3","10","4","2","3","2","57","3","2","8","4","1","4950","20623","0","0","14","3","2","0","5","4","3","4","3","1","1"
"118","118","29","0","2","1378","2","13","2","5","4","2","46","2","2","3","2","2","4025","23679","4","1","13","3","1","1","10","2","3","4","3","0","3"
"119","119","41","0","2","465","2","14","3","2","1","2","56","3","1","7","3","3","2451","4609","4","0","12","3","1","1","13","2","3","9","8","1","8"
"120","120","34","0","2","404","2","2","4","6","3","1","98","3","2","1","4","1","6687","6163","1","0","11","3","4","0","14","2","4","14","11","4","11"
"121","121","36","0","1","427","2","8","3","2","1","1","63","4","3","6","1","2","11713","20335","9","0","14","3","1","1","10","2","3","8","7","0","5"
"122","122","21","0","2","501","3","5","1","4","3","2","58","3","1","9","1","1","2380","25479","1","1","11","3","4","0","2","6","3","2","2","1","2"
"123","123","45","0","2","930","3","9","3","3","4","2","74","3","3","8","1","3","10761","19239","4","1","12","3","3","1","18","2","3","5","4","0","2"
"124","124","38","0","2","243","3","7","4","3","4","1","46","2","2","8","4","1","4028","7791","0","0","20","4","1","0","8","2","3","7","7","0","5"
"125","125","29","0","3","442","3","2","2","2","2","2","44","3","2","8","4","1","4554","20260","1","0","18","3","1","0","10","3","2","10","7","0","9"
"126","126","35","0","2","1224","3","7","4","2","3","1","55","3","2","8","4","2","5204","13586","1","1","11","3","4","0","10","2","3","10","8","0","9"
"127","127","32","1","3","1125","2","16","1","2","2","1","72","1","1","7","1","1","3919","4681","1","1","22","4","2","0","10","5","3","10","2","6","7"
"128","128","45","0","2","556","2","25","2","2","2","1","93","2","2","5","4","2","5906","23888","0","0","13","3","4","2","10","2","2","9","8","3","8"
"129","129","43","0","2","930","2","6","3","4","1","1","73","2","2","7","3","1","4081","20003","1","1","14","3","1","0","20","3","1","20","7","1","8"
"130","130","46","0","2","1319","3","3","3","6","1","1","45","4","4","8","1","3","13225","7739","2","0","12","3","4","1","25","5","3","19","17","2","8"
"131","131","29","0","2","991","3","5","3","4","1","2","43","2","2","8","2","3","4187","3356","1","1","13","3","2","1","10","3","2","10","0","0","9"
"132","132","49","0","2","1313","3","11","4","3","4","1","80","3","2","8","4","1","4507","8191","3","0","12","3","3","0","8","1","4","5","1","0","4"
"133","133","42","0","3","1368","2","28","4","6","4","1","88","2","2","1","4","2","4523","4386","0","0","11","3","4","3","7","4","4","6","5","0","4"
"134","134","39","0","2","492","2","12","3","4","4","2","66","3","2","5","2","2","5295","7693","4","0","21","4","3","0","7","3","3","5","4","1","0"
"135","135","43","0","3","559","2","10","4","2","3","1","82","2","2","3","3","3","5257","6227","1","0","11","3","2","1","9","3","4","9","7","0","0"
"136","136","40","0","3","791","2","2","2","4","3","1","38","4","2","1","2","2","4244","9931","1","0","24","4","4","1","8","2","3","8","7","3","7"
"137","137","29","1","2","805","2","1","2","2","2","1","36","2","1","3","1","2","2319","6689","1","1","11","3","4","1","1","1","3","1","0","0","0"
"138","138","54","0","2","1441","2","17","3","6","3","1","56","3","3","5","3","2","10739","13943","8","0","11","3","3","1","22","2","3","10","7","0","8"
"139","139","39","1","2","1122","2","6","3","4","4","2","70","3","1","3","1","2","2404","4303","7","1","21","4","4","0","8","2","1","2","2","2","2"
"140","140","37","0","2","1189","3","3","3","2","3","2","87","3","3","8","4","1","7428","14506","2","0","12","3","1","0","12","3","3","5","3","1","3"
"141","141","56","0","2","1369","2","23","3","2","4","2","68","3","4","5","2","2","13402","18235","4","1","12","3","1","1","33","0","3","19","16","15","9"
"142","142","58","0","2","848","2","23","4","2","1","2","88","3","1","7","3","3","2372","26076","1","0","12","3","4","2","2","3","3","2","2","2","2"
"143","143","46","0","2","566","2","7","2","4","4","2","75","3","3","5","3","3","10845","24208","6","0","13","3","2","1","13","3","3","8","7","0","7"
"144","144","37","0","2","228","3","6","4","4","3","2","98","3","2","8","4","2","6502","22825","4","0","14","3","2","1","7","5","4","5","4","0","1"
"145","145","40","0","2","1202","2","2","1","4","2","1","89","4","2","1","3","3","6377","13888","5","0","20","4","2","3","15","0","3","12","11","11","8"
"146","146","29","0","1","746","3","2","3","2","4","2","61","3","2","8","3","2","4649","16928","1","0","14","3","1","1","4","3","2","4","3","0","2"
"147","147","33","0","2","931","2","14","3","4","4","1","72","3","1","7","2","2","2756","4673","1","0","13","3","4","1","8","5","3","8","7","1","6"
"148","148","33","0","2","1242","3","8","4","2","1","2","46","3","2","8","1","2","6392","10589","2","0","13","3","4","1","8","6","1","2","2","2","2"
"149","149","24","0","2","477","2","24","3","4","4","2","49","3","1","3","2","1","3597","6409","8","0","22","4","4","0","6","2","3","4","3","1","2"
"150","150","28","0","2","580","2","27","3","4","2","1","39","1","2","5","1","3","4877","20460","0","0","21","4","2","1","6","5","2","5","3","0","0"
"151","151","31","1","2","1365","3","13","4","4","2","2","46","3","2","8","1","3","4233","11512","2","0","17","3","3","0","9","2","1","3","1","1","2"
"152","152","32","0","2","929","3","10","3","3","4","2","55","3","2","8","4","1","5396","21703","1","0","12","3","4","0","10","2","2","10","7","0","8"
"153","153","32","0","2","906","3","7","3","2","4","2","91","2","2","8","3","2","5484","16985","1","0","14","3","3","1","13","3","2","13","8","4","8"
"154","154","41","0","2","447","2","5","3","2","2","2","85","4","2","1","2","1","6870","15530","3","0","12","3","1","0","11","3","1","3","2","1","2"
"155","155","34","0","2","546","2","10","3","2","2","2","83","3","1","3","2","3","2008","6896","1","0","14","3","2","2","1","3","3","1","0","1","0"
"156","156","30","0","1","641","3","25","2","6","4","1","85","3","2","8","3","2","4736","6069","7","1","12","3","2","1","4","2","4","2","2","2","2"
"157","157","40","0","2","444","3","2","2","3","2","1","92","3","2","8","2","2","5677","4258","3","0","14","3","3","1","15","4","3","11","8","5","10"
"158","158","39","1","3","203","2","2","3","2","1","2","84","3","4","1","4","3","12169","13547","7","0","11","3","4","3","21","4","3","18","7","11","5"
"159","159","43","0","3","1082","2","27","3","2","3","1","83","3","3","5","1","2","10820","11535","8","0","11","3","3","1","18","1","3","8","7","0","1"
"160","160","42","0","3","458","2","26","5","4","1","1","60","3","3","6","1","2","13191","23281","3","1","17","3","3","0","20","6","3","1","0","0","0"
"161","161","30","0","2","852","2","1","1","2","4","2","55","2","2","3","4","2","5126","15998","1","1","12","3","3","2","10","1","2","10","8","3","0"
"162","162","28","1","1","1366","2","24","2","6","2","2","72","2","3","1","1","1","8722","12355","1","0","12","3","1","0","10","2","2","10","7","1","9"
"163","163","33","0","2","1216","3","8","4","3","3","2","39","3","2","8","3","3","7104","20431","0","0","12","3","4","0","6","3","3","5","0","1","2"
"164","164","42","0","2","916","2","17","2","2","4","1","82","4","2","7","1","1","6545","23016","3","1","13","3","3","0","10","1","3","3","2","0","2"
"165","165","35","0","2","1232","3","16","3","3","3","2","96","3","3","8","2","2","8020","5100","0","0","15","3","3","2","12","3","2","11","9","6","9"
"166","166","20","1","2","500","3","2","3","4","3","1","49","2","1","9","3","1","2044","22052","1","0","13","3","4","0","2","3","2","2","2","0","2"
"167","167","49","0","2","301","2","22","4","5","1","1","72","3","4","6","2","2","16413","3498","3","0","16","3","2","2","27","2","3","4","2","1","2"
"168","168","33","0","2","922","2","1","5","4","1","1","95","4","4","6","3","3","16184","22578","4","0","19","3","3","1","10","2","3","6","1","0","5"
"169","169","52","0","2","956","2","6","2","6","4","2","78","3","2","7","1","3","5577","22087","3","1","12","3","2","2","18","3","3","10","9","6","9"
"170","170","29","0","2","1107","2","28","4","2","3","1","93","3","1","7","4","3","2514","26968","4","0","22","4","1","1","11","1","3","7","5","1","7"
"171","171","30","0","2","501","3","27","5","3","3","2","99","3","2","8","4","3","5304","25275","7","0","23","4","4","1","10","2","2","8","7","7","7"
"172","172","47","0","1","1169","2","14","4","6","3","2","64","3","2","7","2","2","5467","2125","8","0","18","3","3","1","16","4","4","8","7","1","7"
"173","173","46","0","3","1034","2","18","1","4","1","1","86","3","3","1","3","2","10527","8984","5","0","11","3","4","0","28","3","2","2","2","1","2"
"174","174","33","0","2","536","3","10","5","3","4","2","82","4","3","8","3","3","8380","21708","0","1","14","3","4","2","10","3","3","9","8","0","8"
"175","175","53","0","2","1376","3","2","2","4","3","2","45","3","4","4","3","3","14852","13938","6","0","13","3","3","1","22","3","4","17","13","15","2"
"176","176","21","0","2","984","2","1","1","6","4","1","70","2","1","7","2","1","2070","25326","1","1","11","3","3","0","2","6","4","2","2","2","2"
"177","177","55","1","2","725","2","2","3","4","4","2","78","3","5","4","1","2","19859","21199","5","1","13","3","4","1","24","2","3","5","2","1","4"
"178","178","26","1","3","342","2","2","3","2","1","2","57","3","1","7","1","2","2042","15346","6","1","14","3","2","1","6","2","3","3","2","1","2"
"179","179","32","0","3","967","3","8","3","3","2","1","43","3","3","8","4","1","8998","15589","1","0","14","3","4","0","9","2","3","9","8","3","7"
"180","180","38","0","2","702","3","1","4","2","1","1","59","2","2","8","4","1","8686","12930","4","0","22","4","3","0","12","2","4","8","3","0","7"
"181","181","35","0","2","819","2","2","3","2","3","2","44","2","3","5","2","3","10274","19588","2","0","18","3","2","1","15","2","4","7","7","6","4"
"182","182","38","0","2","1009","3","2","2","2","2","1","31","3","2","8","1","3","6893","19461","3","0","15","3","4","1","11","3","3","7","7","1","7"
"183","183","43","0","3","957","2","28","3","4","2","1","72","4","1","7","3","1","4739","16090","4","0","12","3","4","0","18","2","3","3","2","1","2"
"184","184","39","0","2","1089","2","6","3","2","2","1","32","3","3","5","2","1","8376","9150","4","0","18","3","4","0","9","3","3","2","0","2","2"
"185","185","39","0","3","443","2","8","1","2","3","1","48","3","1","3","3","2","3755","17872","1","0","11","3","1","1","8","3","3","8","3","0","7"
"186","186","28","0","2","1158","2","9","3","4","4","2","94","3","1","7","4","2","2070","2613","1","0","23","4","4","1","5","3","2","5","2","0","4"
"187","187","25","0","3","772","2","2","1","2","4","2","77","4","2","5","3","3","5206","4973","1","0","17","3","3","2","7","6","3","7","7","0","7"
"188","188","47","0","2","1225","3","2","4","2","2","1","47","4","4","4","2","3","15972","21086","6","0","14","3","3","3","29","2","3","3","2","1","2"
"189","189","50","0","2","797","2","4","1","2","1","2","96","3","5","6","2","3","19144","15815","3","0","14","3","1","2","28","4","2","10","4","1","6"
"190","190","28","0","1","120","3","4","3","4","2","2","43","3","2","8","3","2","4221","8863","1","0","15","3","2","0","5","3","4","5","4","0","4"
"191","191","30","0","2","1275","2","28","2","4","4","1","64","3","2","7","4","2","5775","11934","1","0","13","3","4","2","11","2","3","10","8","1","9"
